clientDate, clientSrcIp, clientSrcPort, clientDstIp, clientDstPort, clientConnId, clientInterval, clientTransferedBytes, clientGoodput, serverDate, serverSrcIp, serverSrcPort, serverDstIp, serverDstPort, serverConnId, serverInterval, serverTransferedBytes, serverGoodput
20191212074948,192.168.1.230,58542,131.188.37.207,50005,3,0.0-10.0,95944704,76543943,20191212074948,131.188.37.207,50005,91.15.236.140,58542,5,0.0-10.2,95944704,75347584
20191212075313,192.168.1.230,58564,131.188.37.207,50005,3,0.0-10.0,98959360,79053674,20191212075313,131.188.37.207,50005,91.15.236.140,58564,4,0.0-10.1,98959360,78083601
20191212075623,192.168.1.230,58586,131.188.37.207,50005,3,0.0-10.1,87031808,69250041,20191212075623,131.188.37.207,50005,91.15.236.140,58586,5,0.0-10.2,87031808,68382297
20191212075957,192.168.1.230,58608,131.188.37.207,50005,3,0.0-10.0,95420416,76194329,20191212075957,131.188.37.207,50005,91.15.236.140,58608,4,0.0-10.2,95420416,75208054
20191212080327,192.168.1.230,58630,131.188.37.207,50005,3,0.0-10.0,99745792,79632280,20191212080327,131.188.37.207,50005,91.15.236.140,58630,5,0.0-10.2,99745792,78505415
20191212080711,192.168.1.230,58652,131.188.37.207,50005,3,0.0-10.1,99483648,79022625,20191212080712,131.188.37.207,50005,91.15.236.140,58652,4,0.0-10.2,99483648,77902007
20191212081036,192.168.1.230,58674,131.188.37.207,50005,3,0.0-10.0,84017152,66939343,20191212081036,131.188.37.207,50005,91.15.236.140,58674,5,0.0-10.2,84017152,66064003
20191212081411,192.168.1.230,58696,131.188.37.207,50005,3,0.0-10.1,93061120,74055844,20191212081411,131.188.37.207,50005,91.15.236.140,58696,4,0.0-10.2,93061120,73099307
20191212081731,192.168.1.230,58718,131.188.37.207,50005,3,0.0-10.0,91226112,72838788,20191212081731,131.188.37.207,50005,91.15.236.140,58718,5,0.0-10.1,91226112,71906052
20191212082100,192.168.1.230,58740,131.188.37.207,50005,3,0.0-10.0,100401152,79942410,20191212082101,131.188.37.207,50005,91.15.236.140,58740,4,0.0-10.2,100401152,78925851
20191212082445,192.168.1.230,58762,131.188.37.207,50005,3,0.0-10.1,89915392,71410665,20191212082445,131.188.37.207,50005,91.15.236.140,58762,5,0.0-10.2,89915392,70399126
20191212082824,192.168.1.230,58784,131.188.37.207,50005,3,0.0-10.0,88735744,70781770,20191212082825,131.188.37.207,50005,91.15.236.140,58784,4,0.0-10.2,88735744,69743437
20191212083150,192.168.1.230,58806,131.188.37.207,50005,3,0.0-10.1,87556096,69687359,20191212083150,131.188.37.207,50005,91.15.236.140,58806,5,0.0-10.2,87556096,68854526
20191212083509,192.168.1.230,58828,131.188.37.207,50005,3,0.0-10.1,86245376,68605380,20191212083509,131.188.37.207,50005,91.15.236.140,58828,4,0.0-10.2,86245376,67733550
20191212083839,192.168.1.230,58850,131.188.37.207,50005,3,0.0-10.1,100401152,79836196,20191212083839,131.188.37.207,50005,91.15.236.140,58850,5,0.0-10.2,100401152,78781893
20191212084209,192.168.1.230,58872,131.188.37.207,50005,3,0.0-10.0,94109696,75064372,20191212084209,131.188.37.207,50005,91.15.236.140,58872,4,0.0-10.2,94109696,73476466
20191212084543,192.168.1.230,58894,131.188.37.207,50005,3,0.0-10.1,95682560,75722902,20191212084544,131.188.37.207,50005,91.15.236.140,58894,5,0.0-10.3,95682560,74293520
20191212084928,192.168.1.230,58916,131.188.37.207,50005,3,0.0-10.0,96731136,77157202,20191212084928,131.188.37.207,50005,91.15.236.140,58916,4,0.0-10.2,96731136,75810885
20191212085308,192.168.1.230,58938,131.188.37.207,50005,3,0.0-10.1,100794368,80150965,20191212085308,131.188.37.207,50005,91.15.236.140,58938,5,0.0-10.2,100794368,79093984
20191212085652,192.168.1.230,58960,131.188.37.207,50005,3,0.0-10.0,95158272,75951352,20191212085652,131.188.37.207,50005,91.15.236.140,58960,4,0.0-10.2,95158272,74888979
20191212090022,192.168.1.230,58982,131.188.37.207,50005,3,0.0-10.0,80478208,64266257,20191212090022,131.188.37.207,50005,91.15.236.140,58982,5,0.0-10.1,80478208,63481941
20191212090342,192.168.1.230,59004,131.188.37.207,50005,3,0.0-10.1,71827456,57020042,20191212090342,131.188.37.207,50005,91.15.236.140,59004,4,0.0-10.2,71827456,56121469
20191212090726,192.168.1.230,59026,131.188.37.207,50005,3,0.0-10.0,94896128,75588575,20191212090727,131.188.37.207,50005,91.15.236.140,59026,5,0.0-10.2,94896128,74597782
20191212091101,192.168.1.230,59048,131.188.37.207,50005,3,0.0-10.0,91750400,73075433,20191212091101,131.188.37.207,50005,91.15.236.140,59048,4,0.0-10.2,91750400,71871596
20191212091430,192.168.1.230,59070,131.188.37.207,50005,3,0.0-10.0,94371840,75200587,20191212091431,131.188.37.207,50005,91.15.236.140,59070,5,0.0-10.2,94371840,74229929
20191212091740,192.168.1.230,59092,131.188.37.207,50005,3,0.0-10.0,98828288,78960124,20191212091740,131.188.37.207,50005,91.15.236.140,59092,4,0.0-10.2,98828288,77853763
20191212092105,192.168.1.230,59114,131.188.37.207,50005,3,0.0-10.0,90308608,72032668,20191212092105,131.188.37.207,50005,91.15.236.140,59114,5,0.0-10.2,90308608,71127566
20191212092450,192.168.1.230,59136,131.188.37.207,50005,3,0.0-10.0,96600064,76981547,20191212092450,131.188.37.207,50005,91.15.236.140,59136,4,0.0-10.3,96600064,75362284
20191212092824,192.168.1.230,59158,131.188.37.207,50005,3,0.0-10.1,95944704,76170975,20191212092825,131.188.37.207,50005,91.15.236.140,59158,5,0.0-10.2,95944704,75050444
20191212093209,192.168.1.230,59180,131.188.37.207,50005,3,0.0-10.1,98435072,78345822,20191212093209,131.188.37.207,50005,91.15.236.140,59180,4,0.0-10.2,98435072,77229653
20191212093543,192.168.1.230,59202,131.188.37.207,50005,3,0.0-10.1,93847552,74582596,20191212093543,131.188.37.207,50005,91.15.236.140,59202,5,0.0-10.2,93847552,73550363
20191212093908,192.168.1.230,59224,131.188.37.207,50005,3,0.0-10.0,88866816,70988319,20191212093908,131.188.37.207,50005,91.15.236.140,59224,4,0.0-10.1,88866816,70127239
20191212094237,192.168.1.230,59246,131.188.37.207,50005,3,0.0-10.1,97517568,77417267,20191212094238,131.188.37.207,50005,91.15.236.140,59246,5,0.0-10.2,97517568,76170715
20191212094612,192.168.1.230,59268,131.188.37.207,50005,3,0.0-10.0,83099648,66362840,20191212094612,131.188.37.207,50005,91.15.236.140,59268,4,0.0-10.2,83099648,65273778
20191212094957,192.168.1.230,59290,131.188.37.207,50005,3,0.0-10.0,88211456,70348902,20191212094957,131.188.37.207,50005,91.15.236.140,59290,5,0.0-10.2,88211456,69351791
20191212095311,192.168.1.230,59312,131.188.37.207,50005,3,0.0-10.1,98304000,78063508,20191212095312,131.188.37.207,50005,91.15.236.140,59312,4,0.0-10.2,98304000,76944315
20191212095621,192.168.1.230,59334,131.188.37.207,50005,3,0.0-10.0,88866816,70978113,20191212095621,131.188.37.207,50005,91.15.236.140,59334,5,0.0-10.1,88866816,70086623
20191212095951,192.168.1.230,59356,131.188.37.207,50005,3,0.0-10.0,91226112,72829542,20191212095951,131.188.37.207,50005,91.15.236.140,59356,4,0.0-10.2,91226112,71863979
