clientDate, clientSrcIp, clientSrcPort, clientDstIp, clientDstPort, clientConnId, clientInterval, clientTransferedBytes, clientGoodput, serverDate, serverSrcIp, serverSrcPort, serverDstIp, serverDstPort, serverConnId, serverInterval, serverTransferedBytes, serverGoodput
20191214152544,192.168.0.108,57538,131.188.37.207,50005,3,0.0-10.1,60948480,48430469,20191214152545,131.188.37.207,50005,95.90.222.106,48628,4,0.0-10.3,60948480,47460954
20191214152910,192.168.0.108,57560,131.188.37.207,50005,3,0.0-10.0,59244544,47173772,20191214152910,131.188.37.207,50005,95.90.222.106,48630,5,0.0-10.2,59244544,46241755
20191214153236,192.168.0.108,57582,131.188.37.207,50005,3,0.0-10.3,17432576,13571882,20191214153236,131.188.37.207,50005,95.90.222.106,48636,4,0.0-10.7,17432576,12995172
20191214153621,192.168.0.108,57604,131.188.37.207,50005,3,0.0-10.1,13762560,10930318,20191214153621,131.188.37.207,50005,95.90.222.106,48630,5,0.0-10.1,13762560,10891885
20191214153946,192.168.0.108,57626,131.188.37.207,50005,3,0.0-10.1,19529728,15535786,20191214153947,131.188.37.207,50005,95.90.222.106,48636,4,0.0-10.2,19529728,15339028
20191214154246,192.168.0.108,57648,131.188.37.207,50005,3,0.0-10.0,19267584,15384968,20191214154246,131.188.37.207,50005,95.90.222.106,48634,5,0.0-10.1,19267584,15274588
20191214154616,192.168.0.108,57670,131.188.37.207,50005,3,0.0-10.0,19136512,15292381,20191214154616,131.188.37.207,50005,95.90.222.106,48632,4,0.0-10.1,19136512,15192729
20191214154922,192.168.0.108,57692,131.188.37.207,50005,3,0.0-10.1,58327040,46426689,20191214154922,131.188.37.207,50005,95.90.222.106,48624,5,0.0-10.3,58327040,45520807
20191214155243,192.168.0.108,57714,131.188.37.207,50005,3,0.0-10.1,23855104,18959278,20191214155243,131.188.37.207,50005,95.90.222.106,48634,4,0.0-10.3,23855104,18534554
20191214155628,192.168.0.108,57736,131.188.37.207,50005,3,0.0-10.1,14155776,11236889,20191214155628,131.188.37.207,50005,95.90.222.106,48626,5,0.0-10.3,14155776,11024465
20191214160007,192.168.0.108,57758,131.188.37.207,50005,3,0.0-10.0,14155776,11311968,20191214160007,131.188.37.207,50005,95.90.222.106,48634,4,0.0-10.0,14155776,11290489
20191214160352,192.168.0.108,57780,131.188.37.207,50005,3,0.0-10.0,16121856,12847835,20191214160352,131.188.37.207,50005,95.90.222.106,48624,5,0.0-10.1,16121856,12741384
20191214160737,192.168.0.108,57802,131.188.37.207,50005,3,0.0-10.1,60686336,48247085,20191214160738,131.188.37.207,50005,95.90.222.106,48630,4,0.0-10.2,60686336,47727089
20191214161108,192.168.0.108,57824,131.188.37.207,50005,3,0.0-10.0,58851328,46909733,20191214161108,131.188.37.207,50005,95.90.222.106,48624,5,0.0-10.2,58851328,46383587
20191214161442,192.168.0.108,57846,131.188.37.207,50005,3,0.0-10.0,58195968,46416369,20191214161442,131.188.37.207,50005,95.90.222.106,48632,4,0.0-10.2,58195968,45582922
20191214161823,192.168.0.108,57868,131.188.37.207,50005,3,0.0-10.1,14548992,11552860,20191214161823,131.188.37.207,50005,95.90.222.106,48626,5,0.0-10.2,14548992,11396444
20191214162153,192.168.0.108,57890,131.188.37.207,50005,3,0.0-10.1,58064896,46219281,20191214162153,131.188.37.207,50005,95.90.222.106,48624,4,0.0-10.1,58064896,45827896
20191214162519,192.168.0.108,57912,131.188.37.207,50005,3,0.0-10.0,52428800,41743676,20191214162519,131.188.37.207,50005,95.90.222.106,48638,5,0.0-10.3,52428800,40754108
20191214162849,192.168.0.108,57934,131.188.37.207,50005,3,0.0-10.1,61734912,48843674,20191214162849,131.188.37.207,50005,95.90.222.106,48624,4,0.0-10.4,61734912,47585211
20191214163543,192.168.0.108,57978,131.188.37.207,50005,3,0.0-10.0,57016320,45424304,20191214163543,131.188.37.207,50005,95.90.222.106,48628,4,0.0-10.3,57016320,44497803
20191214163928,192.168.0.108,58000,131.188.37.207,50005,3,0.0-10.0,59768832,47631370,20191214163928,131.188.37.207,50005,95.90.222.106,48632,5,0.0-10.1,59768832,47356803
20191214164254,192.168.0.108,58022,131.188.37.207,50005,3,0.0-10.2,12451840,9787062,20191214164254,131.188.37.207,50005,95.90.222.106,48624,4,0.0-10.5,12451840,9448517
20191214164630,192.168.0.108,58044,131.188.37.207,50005,3,0.0-10.0,52035584,41478675,20191214164630,131.188.37.207,50005,95.90.222.106,48636,5,0.0-10.2,52035584,40652438
20191214164950,192.168.0.108,58066,131.188.37.207,50005,3,0.0-10.1,60162048,47673923,20191214164951,131.188.37.207,50005,95.90.222.106,48634,4,0.0-10.3,60162048,46681123
20191214165330,192.168.0.108,58088,131.188.37.207,50005,3,0.0-10.1,60817408,48187447,20191214165330,131.188.37.207,50005,95.90.222.106,48630,5,0.0-10.3,60817408,47249877
20191214165651,192.168.0.108,58110,131.188.37.207,50005,3,0.0-10.0,18743296,14990309,20191214165651,131.188.37.207,50005,95.90.222.106,48632,4,0.0-10.2,18743296,14762669
20191214170010,192.168.0.108,58132,131.188.37.207,50005,3,0.0-10.1,16646144,13235869,20191214170010,131.188.37.207,50005,95.90.222.106,48624,5,0.0-10.4,16646144,12778435
20191214170330,192.168.0.108,58154,131.188.37.207,50005,3,0.0-10.1,55050240,43619866,20191214170330,131.188.37.207,50005,95.90.222.106,48628,4,0.0-10.3,55050240,42734864
20191214170706,192.168.0.108,58176,131.188.37.207,50005,3,0.0-10.0,61210624,48940647,20191214170706,131.188.37.207,50005,95.90.222.106,48638,5,0.0-10.1,61210624,48597201
20191214171021,192.168.0.108,58198,131.188.37.207,50005,3,0.0-10.0,57802752,46111618,20191214171022,131.188.37.207,50005,95.90.222.106,48632,4,0.0-10.2,57802752,45210807
20191214171401,192.168.0.108,58220,131.188.37.207,50005,3,0.0-10.1,12713984,10106115,20191214171401,131.188.37.207,50005,95.90.222.106,48636,5,0.0-10.2,12713984,9960519
20191214171746,192.168.0.108,58242,131.188.37.207,50005,3,0.0-10.0,58982400,47142054,20191214171746,131.188.37.207,50005,95.90.222.106,48628,4,0.0-10.1,58982400,46767991
20191214172132,192.168.0.108,58264,131.188.37.207,50005,3,0.0-10.1,62652416,49664940,20191214172132,131.188.37.207,50005,95.90.222.106,48624,5,0.0-10.3,62652416,48623898
20191214172506,192.168.0.108,58286,131.188.37.207,50005,3,0.0-10.1,62390272,49663310,20191214172507,131.188.37.207,50005,95.90.222.106,48638,4,0.0-10.2,62390272,48812181
20191214172852,192.168.0.108,58308,131.188.37.207,50005,3,0.0-10.1,12058624,9582314,20191214172852,131.188.37.207,50005,95.90.222.106,48636,5,0.0-10.2,12058624,9459675
20191214173217,192.168.0.108,58330,131.188.37.207,50005,3,0.0-10.1,54001664,42700729,20191214173218,131.188.37.207,50005,95.90.222.106,48638,4,0.0-10.3,54001664,41883017
20191214173537,192.168.0.108,58352,131.188.37.207,50005,3,0.0-10.0,60424192,48246440,20191214173537,131.188.37.207,50005,95.90.222.106,48630,5,0.0-10.2,60424192,47383477
