clientDate, clientSrcIp, clientSrcPort, clientDstIp, clientDstPort, clientConnId, clientInterval, clientTransferedBytes, clientGoodput, serverDate, serverSrcIp, serverSrcPort, serverDstIp, serverDstPort, serverConnId, serverInterval, serverTransferedBytes, serverGoodput
20191217092756,192.168.1.230,49648,131.188.37.207,50004,3,0.0-10.1,456130560,363049121,20191217092756,131.188.37.207,50004,91.15.236.140,49648,4,0.0-10.0,456130560,364307093
20191217093121,192.168.1.230,49670,131.188.37.207,50004,3,0.0-10.0,457441280,364395996,20191217093121,131.188.37.207,50004,91.15.236.140,49670,4,0.0-10.0,457441280,365794854
20191217093457,192.168.1.230,49692,131.188.37.207,50004,3,0.0-10.1,488112128,388031792,20191217093457,131.188.37.207,50004,91.15.236.140,49692,4,0.0-10.0,488112128,389253782
20191217093828,192.168.1.230,49714,131.188.37.207,50004,3,0.0-10.1,478019584,379192981,20191217093828,131.188.37.207,50004,91.15.236.140,49714,4,0.0-10.0,478019584,381348387
20191217094213,192.168.1.230,49736,131.188.37.207,50004,3,0.0-10.0,469893120,374727807,20191217094213,131.188.37.207,50004,91.15.236.140,49736,4,0.0-10.0,469893120,375902617
20191217094558,192.168.1.230,49758,131.188.37.207,50004,3,0.0-10.1,430702592,342438373,20191217094558,131.188.37.207,50004,91.15.236.140,49758,4,0.0-10.0,430702592,344064934
20191217094929,192.168.1.230,49780,131.188.37.207,50004,3,0.0-10.0,453115904,360692112,20191217094929,131.188.37.207,50004,91.15.236.140,49780,4,0.0-10.0,453115904,361725467
20191217095314,192.168.1.230,49802,131.188.37.207,50004,3,0.0-10.1,416940032,329514679,20191217095314,131.188.37.207,50004,91.15.236.140,49802,4,0.0-10.1,416940032,331687576
20191217095641,192.168.1.230,49824,131.188.37.207,50004,3,0.0-10.0,416415744,331817635,20191217095641,131.188.37.207,50004,91.15.236.140,49824,4,0.0-10.0,416415744,333020200
20191217095945,192.168.1.230,49846,131.188.37.207,50004,3,0.0-10.1,429916160,341515747,20191217095945,131.188.37.207,50004,91.15.236.140,49846,4,0.0-10.0,429916160,343710272
20191217100310,192.168.1.230,49868,131.188.37.207,50004,3,0.0-10.1,355991552,282897826,20191217100310,131.188.37.207,50004,91.15.236.140,49868,4,0.0-10.0,355991552,284552538
20191217100636,192.168.1.230,49890,131.188.37.207,50004,3,0.0-10.1,448921600,356596458,20191217100636,131.188.37.207,50004,91.15.236.140,49890,4,0.0-10.0,448921600,358950266
20191217101006,192.168.1.230,49912,131.188.37.207,50004,3,0.0-10.0,394788864,314392306,20191217101006,131.188.37.207,50004,91.15.236.140,49912,4,0.0-10.0,394788864,315815963
20191217101332,192.168.1.230,49934,131.188.37.207,50004,3,0.0-10.0,451149824,359401996,20191217101332,131.188.37.207,50004,91.15.236.140,49934,4,0.0-10.0,451149824,360806818
20191217101702,192.168.1.230,49956,131.188.37.207,50004,3,0.0-10.0,502005760,399785623,20191217101702,131.188.37.207,50004,91.15.236.140,49956,4,0.0-10.0,502005760,401294206
20191217102021,192.168.1.230,49978,131.188.37.207,50004,3,0.0-10.0,466354176,371578670,20191217102021,131.188.37.207,50004,91.15.236.140,49978,4,0.0-10.0,466354176,372734647
20191217102347,192.168.1.230,50000,131.188.37.207,50004,3,0.0-10.1,440532992,349537258,20191217102347,131.188.37.207,50004,91.15.236.140,50000,4,0.0-10.1,440532992,350638208
20191217102712,192.168.1.230,50022,131.188.37.207,50004,3,0.0-10.1,427950080,340653831,20191217102712,131.188.37.207,50004,91.15.236.140,50022,4,0.0-10.0,427950080,342353833
20191217103023,192.168.1.230,50044,131.188.37.207,50004,3,0.0-10.1,454426624,359379895,20191217103023,131.188.37.207,50004,91.15.236.140,50044,4,0.0-10.0,454426624,361879620
20191217103408,192.168.1.230,50066,131.188.37.207,50004,3,0.0-10.1,417333248,330739817,20191217103408,131.188.37.207,50004,91.15.236.140,50066,4,0.0-10.0,417333248,332934348
20191217103733,192.168.1.230,50088,131.188.37.207,50004,3,0.0-10.0,473956352,377613731,20191217103733,131.188.37.207,50004,91.15.236.140,50088,4,0.0-10.0,473956352,379007187
20191217104118,192.168.1.230,50110,131.188.37.207,50004,3,0.0-10.0,489029632,389952421,20191217104118,131.188.37.207,50004,91.15.236.140,50110,4,0.0-10.0,489029632,391192527
20191217104444,192.168.1.230,50132,131.188.37.207,50004,3,0.0-10.1,442892288,352034967,20191217104444,131.188.37.207,50004,91.15.236.140,50132,4,0.0-10.0,442892288,354083640
20191217104750,192.168.1.230,50154,131.188.37.207,50004,3,0.0-10.0,440795136,351233877,20191217104750,131.188.37.207,50004,91.15.236.140,50154,4,0.0-10.0,440795136,352520728
20191217105120,192.168.1.230,50176,131.188.37.207,50004,3,0.0-10.1,407502848,323973749,20191217105120,131.188.37.207,50004,91.15.236.140,50176,4,0.0-10.0,407502848,325034779
20191217105450,192.168.1.230,50198,131.188.37.207,50004,3,0.0-10.0,379715584,302488765,20191217105450,131.188.37.207,50004,91.15.236.140,50198,4,0.0-10.0,379715584,303534920
20191217105831,192.168.1.230,50220,131.188.37.207,50004,3,0.0-10.1,466878464,371488227,20191217105831,131.188.37.207,50004,91.15.236.140,50220,4,0.0-10.0,466878464,372848124
20191217110212,192.168.1.230,50242,131.188.37.207,50004,3,0.0-10.0,485621760,386629831,20191217110212,131.188.37.207,50004,91.15.236.140,50242,4,0.0-10.0,485621760,388489288
20191217110527,192.168.1.230,50264,131.188.37.207,50004,3,0.0-10.1,453902336,361310043,20191217110527,131.188.37.207,50004,91.15.236.140,50264,4,0.0-10.0,453902336,362502352
